Window, Target Return, In-sample Mean, In-sample Covariance, Out-sample Mean, Out-sample Covariance
20, 0.04, 0.0436289, 0.0048317, 0.0649228, 0.0537313
20, 0.045, 0.0505472, 0.00518187, 0.0698926, 0.0677339
20, 0.05, 0.0571829, 0.00567698, 0.0753165, 0.0831847
20, 0.055, 0.0629992, 0.00642287, 0.0819542, 0.0980807
20, 0.06, 0.0684101, 0.00730275, 0.0890996, 0.112888
20, 0.065, 0.0736988, 0.00824824, 0.0963129, 0.128251
20, 0.07, 0.0789178, 0.00924754, 0.10352, 0.144276
20, 0.075, 0.0840829, 0.0102974, 0.110703, 0.16098
20, 0.08, 0.0892036, 0.011396, 0.117854, 0.178368
20, 0.085, 0.0942875, 0.0125417, 0.124968, 0.196449
20, 0.09, 0.0993412, 0.0137333, 0.132044, 0.215231
20, 0.095, 0.104371, 0.0149695, 0.139078, 0.234725
21, 0, -0.0106463, 0.00842041, 0.0383436, 0.0219261
21, 0.005, -0.00428649, 0.00815097, 0.0431823, 0.0103098
21, 0.01, 0.00211, 0.00793294, 0.0481326, 0.00719036
21, 0.015, 0.00854264, 0.00777174, 0.053216, 0.0128098
21, 0.02, 0.0150085, 0.00767338, 0.0584505, 0.027407
21, 0.025, 0.021502, 0.00764391, 0.0638479, 0.05119
21, 0.03, 0.0280152, 0.00768885, 0.0694113, 0.0843085
21, 0.035, 0.0345384, 0.00781258, 0.0751343, 0.126829
21, 0.04, 0.0410606, 0.00801815, 0.0810007, 0.178721
21, 0.045, 0.0475707, 0.00830707, 0.0869866, 0.239851
